EMPLOYEEID,FIRSTNAME,LASTNAME,DOB,DATE OF JOINING,SALARY,EMAIL,MOBILE,CITY,DID,EMAILLEN,
1,Sachin,Mahi,1979-08-20,1996-02-19,197597,Sachin.Mahi@wnbco.co,7836532567,Hyderabad,4,20,29
2,Rohit,Sashtri,1976-07-05,1996-06-07,164598,Rohit.Sashtri@wnbco.co,8109484424,Bangalore,6,22,
3,Dhoni,Gavaskar,1975-06-17,1997-05-30,269077,Dhoni.Gavaskar@wnbco.co,9694416577,Mumbai,2,23,
4,Ravi,Dev,1974-03-10,1995-10-30,115549,Ravi.Dev@wnbco.co,9525763885,Pune,6,17,
5,Sunil,Kohli,1974-12-08,1994-10-10,123821,Sunil.Kohli@wnbco.co,8552511455,Delhi,4,20,
6,Kapil,Kumar,1976-10-17,1994-11-01,181599,Kapil.Kumar@wnbco.co,8842858680,Chennai,3,20,
7,Virat,Mahi,1976-04-29,1994-01-28,217233,Virat.Mahi@wnbco.co,9658829558,Patna,2,19,
8,Laxman,Sashtri,1972-06-25,1988-12-20,215991,Laxman.Sashtri@wnbco.co,7837205979,Kolkata,1,23,
9,Mithali,Gavaskar,1978-07-22,1999-10-20,211051,Mithali.Gavaskar@wnbco.co,9733752351,Hyderabad,6,25,
10,Smriti,Dev,1973-08-30,1994-08-09,148142,Smriti.Dev@wnbco.co,8210640147,Bangalore,4,19,
11,Devika,Kohli,1974-12-22,1997-03-26,267445,Devika.Kohli@wnbco.co,8554291076,Mumbai,4,21,
12,Deepti,Kumar,1973-08-29,1995-12-22,178365,Deepti.Kumar@wnbco.co,9563529133,Pune,5,21,
13,Pooja,Mahi,1979-02-03,1997-03-05,91869,Pooja.Mahi@wnbco.co,9404474217,Delhi,2,19,
14,Harmanpreet,Sashtri,1978-10-15,1993-11-08,238299,Harmanpreet.Sashtri@wnbco.co,9007718544,Chennai,2,28,
15,Shikha,Gavaskar,1978-05-17,1990-04-02,257182,Shikha.Gavaskar@wnbco.co,9680651385,Patna,6,24,
16,Sachin,Dev,1977-08-23,1991-01-04,205702,Sachin.Dev@wnbco.co,9328964141,Kolkata,6,19,
17,Rohit,Kohli,1976-11-01,1998-11-16,149567,Rohit.Kohli@wnbco.co,8673298362,Hyderabad,6,20,
18,Dhoni,Kumar,1974-11-04,1996-11-22,202404,Dhoni.Kumar@wnbco.co,8619552057,Bangalore,3,20,
19,Ravi,Mahi,1978-06-27,1996-06-03,164328,Ravi.Mahi@wnbco.co,9534690762,Mumbai,6,18,
20,Sunil,Sashtri,1979-04-06,1990-04-25,137348,Sunil.Sashtri@wnbco.co,9793710991,Pune,6,22,
21,Kapil,Gavaskar,1976-08-15,1996-12-02,150870,Kapil.Gavaskar@wnbco.co,9918359106,Delhi,6,23,
22,Virat,Dev,1978-01-31,1994-08-17,161298,Virat.Dev@wnbco.co,9488881611,Chennai,3,18,
23,Laxman,Kohli,1979-04-08,1988-09-09,139241,Laxman.Kohli@wnbco.co,8268816470,Patna,6,21,
24,Mithali,Kumar,1978-12-26,1991-08-22,91571,Mithali.Kumar@wnbco.co,8845123136,Kolkata,2,22,
25,Smriti,Mahi,1975-07-14,1997-09-08,,Smriti.Mahi@wnbco.co,9175447211,Hyderabad,5,20,
26,Devika,Sashtri,1977-01-26,1995-04-07,,Devika.Sashtri@wnbco.co,9581811660,Bangalore,2,23,
27,Deepti,Gavaskar,1975-07-12,1989-08-31,,Deepti.Gavaskar@wnbco.co,9800960337,Mumbai,4,24,
28,Pooja,Dev,1975-07-31,1991-03-04,,Pooja.Dev@wnbco.co,7935753577,Pune,1,18,
29,Harmanpreet,Kohli,1974-07-27,1995-10-27,,Harmanpreet.Kohli@wnbco.co,8147406004,Delhi,3,26,
30,Shikha,Kumar,1973-06-29,1988-09-21,,Shikha.Kumar@wnbco.co,7855361982,Chennai,4,21,
31,Sachin,Mahi,1973-11-09,1997-10-30,,Sachin.Mahi@wnbco.co,9518161878,Patna,1,20,
32,Rohit,Sashtri,1974-09-25,1989-11-03,,Rohit.Sashtri1@wnbco.co,9553654938,Kolkata,5,23,
33,Dhoni,Gavaskar,1974-12-23,1988-07-22,,Dhoni.Gavaskar1@wnbco.co,8819329793,Hyderabad,6,24,
34,Ravi,Dev,1972-07-16,1992-10-27,,Ravi.Dev1@wnbco.co,9005072486,Bangalore,4,18,
35,Sunil,Kohli,1977-05-14,1992-06-15,,Sunil.Kohli1@wnbco.co,8080100322,Mumbai,3,21,
36,Kapil,Kumar,1978-10-21,1989-08-08,,Kapil.Kumar1@wnbco.co,8683919551,Pune,5,21,
37,Virat,Mahi,1977-06-30,1990-06-08,,Virat.Mahi1@wnbco.co,9983998012,Delhi,3,20,
38,Laxman,Sashtri,1974-02-13,1995-10-10,,Laxman.Sashtri1@wnbco.co,9546145363,Chennai,3,24,
39,Mithali,Gavaskar,1972-08-02,1991-03-01,,Mithali.Gavaskar1@wnbco.co,9382853068,Patna,4,26,
40,Smriti,Dev,1978-02-22,1988-02-18,,Smriti.Dev1@wnbco.co,7979929871,Kolkata,4,20,
41,Devika,Kohli,1977-10-29,1999-03-26,,Devika.Kohli1@wnbco.co,9518604642,Hyderabad,3,22,
42,Deepti,Kumar,1975-10-02,1991-08-16,,Deepti.Kumar1@wnbco.co,7974561092,Bangalore,3,22,
43,Pooja,Mahi,1974-06-10,1999-03-19,,Pooja.Mahi1@wnbco.co,9844291333,Mumbai,1,20,
44,Harmanpreet,Sashtri,1974-08-26,1993-06-04,,Harmanpreet.Sashtri1@wnbco.co,9756338095,Pune,6,29,
45,Shikha,Gavaskar,1974-02-13,1992-06-24,,Shikha.Gavaskar1@wnbco.co,9915020391,Delhi,1,25,
46,Sachin,Dev,1975-02-28,1988-09-02,,Sachin.Dev1@wnbco.co,8725373564,Chennai,1,20,
47,Rohit,Kohli,1974-03-02,1989-04-17,,Rohit.Kohli1@wnbco.co,9305720800,Patna,4,21,
48,Dhoni,Kumar,1974-01-25,1997-12-30,,Dhoni.Kumar1@wnbco.co,8030594283,Kolkata,1,21,
49,Ravi,Mahi,1977-12-19,1989-08-04,,Ravi.Mahi1@wnbco.co,8091605813,Hyderabad,1,19,
50,Sunil,Sashtri,1973-12-11,1998-01-02,,Sunil.Sashtri1@wnbco.co,9292280283,Bangalore,2,23,
51,Kapil,Gavaskar,1978-03-07,1990-09-28,151661,Kapil.Gavaskar1@wnbco.co,9197245666,Mumbai,5,24,
52,Virat,Dev,1976-10-18,1999-01-08,98858,Virat.Dev1@wnbco.co,9294367579,Pune,1,19,
53,Laxman,Kohli,1979-09-09,1993-08-05,122057,Laxman.Kohli1@wnbco.co,9042115083,Delhi,2,22,
54,Mithali,Kumar,1972-12-26,1999-11-26,260002,Mithali.Kumar1@wnbco.co,8081953835,Chennai,4,23,
55,Smriti,Mahi,1977-04-22,1988-03-08,247068,Smriti.Mahi1@wnbco.co,8033679670,Patna,5,21,
56,Devika,Sashtri,1976-12-28,1989-05-26,171916,Devika.Sashtri1@wnbco.co,9971568536,Kolkata,5,24,
57,Deepti,Gavaskar,1977-02-25,1988-11-18,104763,Deepti.Gavaskar1@wnbco.co,8507672738,Hyderabad,5,25,
58,Pooja,Dev,1974-08-03,1993-01-25,217876,Pooja.Dev1@wnbco.co,8331038758,Bangalore,1,19,
59,Harmanpreet,Kohli,1972-06-11,1999-03-31,219223,Harmanpreet.Kohli1@wnbco.co,9838316602,Mumbai,2,27,
60,Shikha,Kumar,1974-10-01,1998-04-28,231650,Shikha.Kumar1@wnbco.co,9227774734,Pune,3,22,
61,Sachin,Mahi,1975-02-24,1995-12-29,256029,Sachin.Mahi1@wnbco.co,9698369639,Delhi,2,21,
62,Rohit,Sashtri,1977-02-26,1993-01-28,252486,Rohit.Sashtri2@wnbco.co,8848061339,Chennai,2,23,
63,Dhoni,Gavaskar,1979-02-10,1990-04-09,144577,Dhoni.Gavaskar2@wnbco.co,9837181501,Patna,4,24,
64,Ravi,Dev,1978-04-15,1989-06-09,267260,Ravi.Dev2@wnbco.co,9388496186,Kolkata,3,18,
65,Sunil,Kohli,1972-05-24,1992-11-06,138608,Sunil.Kohli2@wnbco.co,9102674006,Hyderabad,6,21,
66,Kapil,Kumar,1974-10-25,1990-05-25,259193,Kapil.Kumar2@wnbco.co,9169735777,Bangalore,6,21,
67,Virat,Mahi,1972-08-29,1989-10-31,190498,Virat.Mahi2@wnbco.co,8742201469,Mumbai,1,20,
68,Laxman,Sashtri,1975-08-23,1994-07-15,273919,Laxman.Sashtri2@wnbco.co,9485786972,Pune,1,24,
69,Mithali,Gavaskar,1978-11-04,1995-08-04,248756,Mithali.Gavaskar2@wnbco.co,8901489488,Delhi,4,26,
70,Smriti,Dev,1977-07-07,1988-06-22,255160,Smriti.Dev2@wnbco.co,7971724364,Chennai,6,20,
71,Devika,Kohli,1972-12-28,1996-12-31,247758,Devika.Kohli2@wnbco.co,8201557544,Patna,4,22,
72,Deepti,Kumar,1975-11-26,1989-12-01,126876,Deepti.Kumar2@wnbco.co,8806342815,Kolkata,5,22,
