customer_id,customer_name,email,city,state,age,gender,signup_date,last_purchase_date,preferred_category,total_orders,avg_order_value,lifetime_value,days_since_last_purchase,email_open_rate,click_rate,campaign_type,discount_offered,device_type,marketing_channel,customer_segment,cart_value,previous_returns,purchased
100001,Arjun,arjun100001@rediffmail.com,Hyderabad,Telangana,32.0,Male,2022-12-20,26/01/2025,Fashion,3,3007.41,13118.45,476,0.038,0.015,Loyalty,5,Desktop,Email,VIP,799.36,0,1
100002,Isha,isha100002@gmail.com,Pune,Uttar Pradesh,39.0,Female,2024-12-08,28/12/2026,Fashion,4,,7374.63,-260,0.449,0.016,Cart Recovery,30,Mobile,Email,Dormant,358.92,0,1
100003,Rahul,rahul100003@yahoo.com,Ahmedabad,Delhi,23.0,Male,2023-04-09,17/06/2024,Books,4,1681.05,7201.92,653,0.184,0.042,Discount,10,Mobile,Email,New,753.73,1,0
100004,Kabir,kabir100004@company.com,Lucknow,Uttar Pradesh,25.0,Male,2022-12-22,06/03/2024,Books,3,1142.08,4134.96,670,0.75,0.25,Festive Sale,15,Desktop,Email,New,327.48,1,1
100005,Ananya,ananya100005@yahoo.com,Kolkata,West Bengal,42.0,Male,2024-04-29,07/05/2024,Grocery,3,831.04,3351.43,700,0.249,0.064,Festive Sale,0,Mobile,SMS,Budget,2049.37,0,0
100006,Arjun,arjun100006@hotmail.com,Kolkata,Maharashtra,25.0,Female,2024-08-31,13/12/2025,Grocery,3,4160.11,19237.55,33,,0.135,Loyalty,10,Mobile,Email,Dormant,519.1,1,1
100007,Neha,neha100007@outlook.com,Bengaluru,Tamil Nadu,35.0,Female,2025-03-27,18/12/2026,Toys,3,1537.74,6935.52,-347,0.263,0.052,Festive Sale,0,Mobile,Email,Returning,636.48,3,1
100008,Aditya,aditya100008@outlook.com,Pune,West Bengal,35.0,Male,2022-03-07,17/02/2023,Fashion,6,2077.17,20556.82,1196,0.17,0.009,Loyalty,25,Desktop,Push,Dormant,1309.97,1,0
100009,Arjun,arjun100009@hotmail.com,Lucknow,Karnataka,22.0,Female,2024-05-08,30/12/2025,Grocery,4,3252.15,16752.29,102,0.49,0.059,Cart Recovery,15,Mobile,Email,VIP,827.99,0,1
100010,Rahul,rahul100010@outlook.com,Chennai,Maharashtra,44.0,Male,2023-07-25,30/07/2024,Grocery,4,1971.43,12140.26,600,0.24,0.041,Winback,20,Mobile,Email,Returning,275.6,1,0
100011,Rahul,rahul100011@outlook.com,Lucknow,Karnataka,18.0,Male,2022-11-04,04/02/2025,Sports,6,2642.31,24146.47,444,0.588,0.099,Festive Sale,30,Mobile,WhatsApp,Dormant,1497.36,1,1
100012,Kabir,kabir100012@rediffmail.com,Bengaluru,Gujarat,37.0,Female,2025-09-22,15/03/2026,Fashion,10,1829.48,18043.24,-70,0.396,0.053,Loyalty,10,Mobile,Email,Dormant,1279.55,1,1
100013,Ananya,ananya100013@company.com,Mumbai,Gujarat,29.0,Other,2024-02-22,20/07/2025,Fashion,4,2186.02,9704.85,198,0.581,0.054,Welcome,25,Desktop,Email,New,821.1,0,1
100014,Isha,isha100014@company.com,Bengaluru,Rajasthan,35.0,Male,2022-05-01,07/09/2022,Electronics,4,15340.5,4008.41,1251,0.096,0.034,Winback,30,Mobile,Email,Premium,848.78,0,0
